title,platform,publisher,developer,genre,rating,release_date,multihoming,playersnum,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
3D Dot Game Heroes,PlayStation 3,['Atlus'],Silicon Studio,"['Role-Playing', 'Action RPG', 'Action RPG']",E10+,11-May-10,,No Online Multiplayer,"A long, long time ago, the Dark King Onyx brought an age of darkness upon Dotnia Kingdom.  Only by the bravery of a hero with a legendary sword was Onyx sealed in an orb, restoring peace to the world.  But Fuelle, a powerful Dark Bishop, has stolen the orb, and with it, peace.  Dotnia requires a hero once more!  Can you live up to the legend? Ultimate retro love letter -- Seamlessly fusing new and old, the golden era of gaming is felt in every detail of this lovingly-crafted adventure. Eye-popping visuals capture the nostalgic charm of pixel graphics in cutting edge 3D. Simple, but deep action-adventure gameplay is a throwback to the 8-bit era. Veterans will find references and jokes that pay homage to the great games of yore. Awe and adventure live again -- Embark on the next generation of classic exploration and discovery in a grand story-based quest. A hero sets out to gain the power of the six sages and the six orbs that protected the kingdom of Dotnia, which now stands on the verge of destruction. Customize your hero -- When pixels are your building blocks, the possibilities are unlimited. Freely edit the look of your character, or design one completely from scratch, and then trade designs with friends via a compatible USB storage device. Your hero's blade is also upgradeable, letting you add length and width to create a sword that fills the whole screen. [Atlus USA]",77,Generally favorable reviews,47,19,0,8.2,Generally favorable reviews,74,25,5
3D Ultra MiniGolf Adventures 2,PlayStation 3,['Konami'],Wanako Studios,"['Sports', 'Traditional', 'Individual', 'Golf', 'Arcade', 'Arcade']",E,16-Nov-10,['Xbox 360'],,"In 3D Ultra MiniGolf Adventures 2, players are challenged to navigate their ball beyond obstacles using the help of secret shortcuts, game-changing power-ups and traps to sabotage the competition. Players can also manipulate the game by using special pick-ups to destroy course obstructions or even interfere with competitor's shots. Gamers can bring their A-game as they play in matches of up to four players locally or online. The sequel also offers an intuitive Map Editor tool, allowing full customization of virtual courses and the strategic placement of power-ups and traps. Putt through over 50 fun-filled holes in diverse locations, such as a Haunted Manor, a Manic Museum and a Winter Wonderland. As an added bonus, players can choose from up to four customizable animated characters and are invited to play using their own Xbox 360 Avatars and watch as their personalities unfold in every course.",0,No score yet,0,0,1,tbd,No user score yet,0,0,0
4 Elements HD,PlayStation 3,['Boolat Games'],Boolat Games,"['Miscellaneous', 'Puzzle', 'Puzzle', 'Matching', 'Matching']",E,30-Aug-11,"['3DS', 'iPhone/iPad', 'PC']",,This is a fun game worth its cost Great break for shooters and sports games reminds me somewhat of the popular game bejeweled i suggest to check it out,65,Mixed or average reviews,2,3,1,7.5,Generally favorable reviews,3,3,0
4 in 1 Action Pack,PlayStation 3,['SouthPeak Games'],SouthPeak Games,"['Miscellaneous', 'Compilation', 'Compilation']",E,1-Aug-12,,,,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
5 Star Wrestling,PlayStation 3,['Serious Parody'],Serious Parody,"['Sports', 'Individual', 'Combat', 'Wrestling']",T,17-Mar-15,,,"5 Star Wrestling is a game built on true Ring Psychology with Heel and Face mechanics, a revolutionary Limb Damage System and Rivalries that impact gameplay. Featuring a 40 Hour Challenge campaign with 128 challenges, over 400 objectives, and more moves-per-wrestler than any other game including never before seen Finisher-To-Finisher reversals, 5 Star Wrestling is brimming with content. Introducing: Raganbrok 'The Conqueror', 'Raging' Andy Organ, HarVee Dee and Jonny 'The Bull' Miavia. 5 Star Wrestling is all about the characters, each coming with their own original theme music, massive move set and spectacular finishing maneuvers which look and feel different depending on the characters physical condition when executing the move. 5 Star Wrestling also features fully customizable, goal-oriented AI, with each character having 5 different personalities to choose from that will significantly change the way matches play out. If you're a wrestling fan, this game was made for you!",0,No score yet,0,1,2,tbd,No user score yet,0,0,1
50 Cent: Blood on the Sand,PlayStation 3,['THQ'],Swordfish Studios,"['Action', 'Shooter', 'Shooter', 'Third-Person', 'Modern', 'Modern', 'Arcade']",M,24-Feb-09,['Xbox 360'],2,"After performing a sold-out concert in a fictional war-torn country, 50 Cent and the G-Unit are robbed of their cash and paid in kind with a priceless diamond encrusted skull, which is subsequently stolen by the local crime-lord’s gang. Determined to collect his payment and enact revenge on the gangsters foolish enough to disrespect him, 50 Cent sets out to get rich or die trying. 50 Cent: Blood on the Sand features intense third-person action/shooter gameplay, an intuitive cover system, drop in and drop out online multiplayer co-op, merciless melee counter-kills and a soundtrack that combines 50 Cent’s greatest hits with 18 exclusive new tracks. 50 Cent: Blood on the Sand puts players in control of their own virtual action film by blending visuals from the Unreal 3 game engine technology with an over-the-top story and voiceover work by 50 Cent and the G-Unit’s Tony Yayo, Lloyd Banks, and DJ Whoo Kid. [THQ]",72,Mixed or average reviews,17,20,0,6.8,Mixed or average reviews,36,17,17
99Vidas,PlayStation 3,['QUByte Interactive'],QUByte Interactive,"['Action', ""Beat-'Em-Up"", '2D']",T,18-Jul-17,"['PC', 'PlayStation 4', 'PlayStation Vita', 'Xbox One']",Up to 4,"""99Vidas"" is a brawler set in a contemporary world, but that pays tribute to both the classic and the new in the gaming industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80's and 90's pop culture. ""99Vidas"" takes full advantage modern era gameplay mechanics, making it the best of both worlds.6 stages (with more to come) will take you on a journey to different parts of the world to face hordes of fierce enemies and relentless bosses, but you don't have to do it alone: you can face this challenge with up to 3 other players in co-op play, both local and online.",0,No score yet,0,0,0,tbd,No user score yet,1,0,0
A Boy and His Blob,PlayStation 3,['Majesco'],Abstraction Games,"['Action', 'Platformer', '2D']",E,28-Jun-16,"['iPhone/iPad', 'PC', 'PlayStation 4', 'PlayStation Vita', 'Switch', 'Xbox One']",No Online Multiplayer,"A Boy and His Blob makes its triumphant return! A reimagining of the NES classic, as the boy, you feed your blob jelly beans and watch him transform into cool and useful objects to solve puzzles and escape danger. With its robust and emotionally driven story, challenging puzzles, and visually impressive art style, A Boy and His Blob is sure to become a classic once again. When Blobolonia is threatened by an evil Emperor, the blob comes to Earth looking for help. Instead, he finds a young boy. Help the blob dethrone the evil Emperor that's terrorizing Blobolonia and establish a friendship with the blob that will last a lifetime.",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
A-Men,PlayStation 3,['Namco Bandai Games'],Bloober Team,"['Action', 'General', 'General']",E10+,26-Mar-13,"['PC', 'PlayStation Vita']",,"A-Men is played out at A-Cor, the world's biggest producer of A-Droids, robot soldiers, where A-Men's heroes work. The game kicks-off with a major explosion at the factory accidentally releasing hundreds of A-droid soldiers. And so the mind games begin...with your mission to round up all the wayward enemies.",67,Mixed or average reviews,1,5,0,7.5,Generally favorable reviews,3,1,0
A-Men 2,PlayStation 3,['Bloober Team'],Bloober Team,"['General', 'Action', 'General']",T,6-Nov-13,"['PC', 'PlayStation Vita']",,"Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect.",34,Generally unfavorable reviews,0,1,3,tbd,No user score yet,1,0,1
Aabs Animals,PlayStation 3,['Aabs'],Aabs,"['Simulation', 'Miscellaneous', 'General', 'Virtual', 'Pet']",E,17-Dec-13,['PlayStation Vita'],,"Different to normal games, 'Aabs Animals' is an animal entertainment content that does not have any achievement targets for players. -To love animals-To have the animals close to you and use them as a digital photo frame-etc...Have fun with the animals the way you like. 'Aabs Animals' is also released on PlayStationVita system. 'Aabs Inc.' donates a few percentage of its sales to public organizations for animal protect etc..About the donated organization and amount of donation, visit the official website below.http://www.aabs.co.jp",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Aaru's Awakening,PlayStation 3,['Lumenox ehf'],Lumenox ehf,"['Action', 'Platformer', '2D']",E,7-Apr-15,"['PC', 'PlayStation 4', 'Xbox One']",,"Defeat a chilling evilAwaken your power Can you restore the balance between Dawn, Day, Dusk and Night? With the world of Lumenox under threat by Nights dangerous deeds, only Aaru has the gifts to save this mythical land. Become Aarus courage and use his powers of teleportation and charging to travel to Nights domain. On your journey youll discover helpful friends... and deadly foes. Only the fastest fingers and quickest wits can solve the fiendish puzzles that await you...",0,No score yet,0,0,0,0.4,Overwhelming dislike,2,1,65
Absolute Supercars,PlayStation 3,['Eutechnyx'],Eutechnyx,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'GT / Street', 'Automobile']",E,6-Nov-12,,,"Available this December on PlayStation Network for $9.99, Eutechnyx’s Absolute Supercars allows people of all ages and skill to get behind the wheels of some of the world’s most powerful supercars. Take part in quick races, time trials, championships and even an epic Career mode in an attempt to earn the big bucks and fill your Showroom with a cavalcade of stunning motors! From Ferrari, to Pagani, to Aston Martin and McLaren, there's a car for everyone and a series of stunning tracks to race them on.",0,No score yet,0,0,0,5.9,Mixed or average reviews,3,2,2
Abyss Odyssey,PlayStation 3,['Atlus'],ACE Team,"['Action Adventure', 'Fantasy', 'Linear']",T,15-Jul-14,"['PC', 'Xbox 360']",2,"An astounding and strange mash-up of rogue like elements, beat-em-up gameplay, and capture mechanics like those in Pokémon. Won't take long to beat, but it will take long to master all the characters as every monster in this game is playable once captured and can be used as an extra life/character you can voluntarily switch to and from. Great with someone who is willing to play something a little different.",70,Mixed or average reviews,3,4,0,6.2,Mixed or average reviews,6,2,5
AC/DC Live: Rock Band Track Pack,PlayStation 3,"['Electronic Arts', 'MTV Games']",Harmonix Music Systems,"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']",T,2-Nov-08,"['PlayStation 2', 'Xbox 360']",No Online Multiplayer,"This exclusive deal marks the first time ever the band has included an entire album for video game play, with 18 live tracks from their prolific live performances becoming available in one electrifying, standalone game. The AC/DC LIVE: Rock Band Track Pack allows players to experience this amazing set list with Rock Band, Rock Band 2 or other compatible music game peripherals. AC/DC LIVE: Rock Band Track Pack features the master recordings from the best of the band’s live performances. The live recording was specially remixed for Rock Band by Mike Fraser. The game features 18 tracks, with more than 99 minutes of game play for each instrument. All tracks from the AC/DC LIVE: Rock Band Track Pack are also available for play in Rock Band and Rock Band 2 by entering a special export authentication code for the Xbox 360 and PS3 versions. [Harmonix]",60,Mixed or average reviews,1,9,2,5.3,Mixed or average reviews,4,7,3
Acceleration of SUGURI X-Edition,PlayStation 3,['Sony Online Entertainment'],Rockin' Android,"['Action', 'Fighting', 'Fighting', '3D', '2D', '2D']",E10+,15-Feb-11,['PC'],,"An extremely competent and original girl-on-girl (sans the one male character in the 12-character roster) competitive fighter/shooter with a great deal of flair, color, strategy, depth, and variety, all of which is well worth the ludicrously cheap $5.99 asking price, which even includes a bonus theme and the entire soundtrack. This could easily have been $14.99, and justifiably so. The amount of content present goes far beyond what's expected of a $5.99 throwaway title. This is definitely not a throwaway title. Aside from the different forms of Suguri, who all play fairly similarly, every character plays very uniquely, with their own strengths and weaknesses. As for what makes it unique, while the game does have a typical Hyper gauge that goes up depending on how many hits you get in or how many projectiles you absorb, it also has something called a Heat percentage. Normally, the Heat is at zero, and can go as high as 300%. The percentage Heat that you have is exactly how much extra damage you take from attacks; so if you have a percentage of 100, you will be given twice as much damage as normal. Heat is accumulated for the most part by dashing. Here's the thing: Dashing doesn't just get you out of the way of an attack. Dashing also leaves behind a trail of rings, which absorb enemy projectile attacks. When this happens, you absorb those projectiles into your Hyper gauge. Learning how to manage dashing and your Heat is critical to succeeding. This one particular mechanic is what differentiates this game from others of its type (of which there are few). It forces you to risk greatly lowering your defense to fill your Hyper gauge. Note that dashing also allows you to become invulnerable to some attacks, as does the Shield mechanic. Basically, all I'm saying is that this is one seriously complex game, and way more than what would be expected from a $5.99 fighting game with twelve anime characters, a handful of arenas, only a couple of modes, and some very nice bonuses in the form of story sequences for each major character (Sora, an unlockable character, has a very unique story sequence, and is the only sequence to be animated, despite being very short compared to the others). It's an excellent fighter, the characters all have personality and detailed backstory, the story modes are entertaining and humorous, the dialogue shifts from funny to shockingly macabre (Hae's backstory of being kidnapped and forced to stay in a dark room which she is not allowed to leave is stunningly heartrending, and was especially impacting and incredibly contrasting considering Saki's very lighthearted story involving pudding, cooking, and making people happy), and the game has a huge amount of personality with the cool fighting mechanics and flash to back it up. The added bonus story sequences are a great touch, and the two brief but entertaining story modes are also fun to play through. The bonus soundtrack provided, plus the theme and background, are very well done, and make that $5.99 even more worth it. For anyone with the slightest interest in fighters of this sort, especially those with a fan of manga-style characters and storylines, this is an obvious purchase. Mastering it is extremely difficult, and to learn the ins and outs of its mechanics takes time and practice. Just remember to read the wiki of this to have an idea of where to start. Great, great game. Just unreal value for the money.",61,Mixed or average reviews,2,7,1,5.5,Mixed or average reviews,6,2,5
Ace Combat Infinity,PlayStation 3,"['Namco Bandai Games America', 'Namco Bandai Games']",Project Aces,"['Flight', 'Action', 'Simulation', 'Flight', 'Combat']",T,27-May-14,,Up to 8,"The infinite blue of the open skies awaits not only veteran but also budding flying aces in Ace Combat Infinity, the first free-to-play game in the hit franchise from Namco Bandai Games. Evolving the legendary series with a brand new story and innovative multiplayer, the game turns the sky into an endless blue battleground, bursting with aerial drama and destruction. Ace Combat Infinity will let every player become a deadly flying ace, as they embark on a series of high velocity missions.",54,Mixed or average reviews,4,6,4,5.8,Mixed or average reviews,29,15,24
Ace Combat: Assault Horizon,PlayStation 3,['Namco Bandai Games'],Project Aces,"['Action', 'Simulation', 'Flight', 'Flight', 'Combat']",T,11-Oct-11,['Xbox 360'],Up to 16,"While it can take some time for veterans of the series to adapt to the new ""Dogfight Mode"" the game overall has the stuff to take a place with the other great Ace Combats like Shattered Skies, The Unsung War, and The Belkan War. Now, yes the switch from the fictional universe of Strangereal to our very own Earth is a bit disappointing the story that is told is as wild and imaginative as any told in Strangereal. Mechanically the game is solid as a rock. The flight mechanics on planes are smooth and responsive and Dogfight Mode is surprisingly fun and useful. Things can get sticky when using an attack helicopter, but you don't use one often enough to get angry with it. The graphics are amazing. The planes look sleek and realistic and jaggies are far and few in between. Surprisingly the ground doesn't look like a low resolution composite image anymore, it actually looks realistic.  The game has large amounts of replayability when it comes to 3 player co-op and 8v8 competitive multiplayer. Capital Conquest is a base defense game that requires a large amount of teamwork to win at. Overall while the game may have a few quirks, it is still the best Ace Combat game since The Belkan War",77,Generally favorable reviews,22,4,2,6.8,Mixed or average reviews,53,26,21
Action Henk,PlayStation 3,['RageSquid'],RageSquid,"['Action', 'Platformer', '2D', '3D']",E,8-Mar-16,"['PC', 'PlayStation 4', 'Xbox One']",,"Action Henk is a lightning fast platform-racing game set in a beautifully crafted 3D toy box world, where a cast of classic action figure inspired characters compete to once and for all prove that Action Henk is the fastest of them all!The game challenges players to shave milliseconds off their times by running, jumping and butt-sliding with 5 playable characters across over 70 challenging levels in a game which revels in almost sonic speeds.",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Adam's Venture Chronicles,PlayStation 3,['Playlogic'],Vertigo Games,"['Action', 'General']",E,4-Feb-14,['PC'],,,49,Generally unfavorable reviews,0,7,1,5.9,Mixed or average reviews,4,0,3
Adidas miCoach,PlayStation 3,['505 Games'],Chromativity,"['Sports', 'General', 'General']",E,24-Jul-12,['Xbox 360'],,"Very  complete game. Sports-specific training with your sporting heroes, 18 total. console-only workouts that provide an intense cardiovascular workout in your own home. better with PlayStation Move.",0,No score yet,0,0,1,4.8,Generally unfavorable reviews,3,0,2
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,PlayStation 3,['D3Publisher'],WayForward,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']",E10+,19-Nov-13,"['3DS', 'PC', 'Wii U', 'Xbox 360']",No Online Multiplayer,"I honestly don't understand why there's so much negativity surrounding this game. I thought it was really fun, not perfect mind you, but entertaining to say the least. I actually really like the retro style of it (I was also a fan of the 3ds adventure time game"" hey ice king why'd you steal our garbage"") and it has some great voice acting provided by the cast of the show. I keep seeing remarks along the lines of ""for anybody who isn't a fan of adventure time, this game wont have much to offer."" which is... stupid to say the least. I mean, yeah, duh. next you're gonna tell me people who don't like Spider-man probably isn't going to like a Spider-man game. though real talk, there isn't nearly enough enemies and the game's much better with multiplayer. if you can look past that, it's a fun game. grab your friends and play it if you get the chance",40,Generally unfavorable reviews,0,5,9,4,Generally unfavorable reviews,7,2,11
Adventure Time: Finn and Jake Investigations,PlayStation 3,['Little Orbit'],Vicious Cycle,"['Adventure', '3D', 'Third-Person']",E10+,20-Oct-15,"['3DS', 'PC', 'PlayStation 4', 'Wii U', 'Xbox 360', 'Xbox One']",No Online Multiplayer,"Adventure Time: Finn and Jake Investigations is an all-new, real-time, fully 3D action-oriented twist on the classic story-driven graphic adventure game.  Finn and Jake decide to carry on the profession of Finn's foster parents, who were Professional Investigators.  Confronted with mysterious Land of Ooo disappearances and strange events, players will interrogate colorful inhabitants, dispatch evil doers in fast-paced combat, solve mind-bending puzzles, explore new and familiar locations, and genuinely feel as if they have stepped into their own personal episode of Adventure Time.",0,No score yet,0,0,0,7.5,Generally favorable reviews,4,1,1
Adventure Time: The Secret of the Nameless Kingdom,PlayStation 3,['Little Orbit'],WayForward,"['Action Adventure', 'General', 'Fantasy', 'Open-World']",E10+,18-Nov-14,"['3DS', 'PC', 'PlayStation Vita', 'Xbox 360']",No Online Multiplayer,"Oh My Glob! Someone has kidnapped all of princesses of the Nameless Kingdom! Naturally Princess Bubblegum sends Finn and his best bud Jake on a heroic adventure to rescue and choose the princess who commands the Nameless inhabitants in the Land of Ooo. After all, every kingdom needs a princess who rules. Features-Play as Finn in a brand new, top-down action adventure game!-Vanquish new and familiar foes as you battle your way through unique temples!-Solve puzzles and overcome challenges in each of the temples to rescue the princesses of the Nameless kingdom!-Help out new and fan-favorite Adventure Time characters with their mini quests!-Upgrade your weapons and acquire new abilities while avoiding curses throughout the Land of Ooo!-Help out fan-favorite characters with their mini adventures including Ice King, Marceline, Lumpy Space Princess, Tree Trunks, Magic Man and many more!",0,No score yet,0,2,1,tbd,No user score yet,1,0,0
Aegis of Earth: Protonovus Assault,PlayStation 3,['Aksys Games'],Acquire,"['Strategy', 'Real-Time', 'Defense']",T,15-Mar-16,"['PC', 'PlayStation 4', 'PlayStation Vita']",No Online Multiplayer,"A frenetic new spin on action strategy gaming. Dig in, plan out and build up your defenses as hordes of hulking monstrosities bombard your heavily fortified city in an attempt to wipe you off the Earth for good. Command the final bastion of humanity as you fight for the survival of the species using fantastic tech, cunning tactics and massive weapons. [Aksys]",0,No score yet,0,0,0,tbd,No user score yet,3,0,0
Afrika,PlayStation 3,['Natsume'],Rhino Studios,"['Simulation', 'Adventure', 'General', 'General', 'Virtual', 'Career']",E10+,6-Oct-09,,No Online Multiplayer,"In AFRIKA, players step into the role of a freelance photographer exploring a brand new conservation area. They'll document the wildlife and photograph incredible sights such as a titanic clash between hippopotamuses, a pride of lions watching over its playful cubs, and a cheetah's lightning-fast chase as it runs down its prey!  All of the game's animals and environments are rendered in photorealistic detailwith animals that move, behave, and interact with each other just like their real-world counterparts. The photography in the game is as meticulously modeled as the animals themselves; players will need to learn from the game's innovative photo-grading system and compose their photographs with the eye of a professional photographer if they want to earn top dollar. The money they earn can be used to purchase new licensed lenses, cameras, and safari equipment. If players are good enough, they just might find their photograph on the cover of National Geographic. [Natsume]",63,Mixed or average reviews,1,9,2,6.2,Mixed or average reviews,18,7,11
Afro Samurai,PlayStation 3,"['Namco Bandai Games America', 'Namco Bandai Games']","Namco Bandai Games America, Namco Bandai Games","['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']",M,27-Jan-09,['Xbox 360'],No Online Multiplayer,"Follow Afro Samurai as he fights to become the number one warrior, a title currently held by Justice, the man who killed Afro’s father when he was a child.  The game follows the plot of the original series with added material and background for fans and new comers alike. Blood is beautiful in this hip hop infused action adventure as Samuel L. Jackson reprises his role as Afro and Ninja Ninja. A striking art style gives Afro Samurai a unique look and feel across animated open environments as he wages war against his adversaries to become number one. Using an innovative gameplay system, enemy AI is affected by the beat of the musical score overseen and inspired by RZA of Wu-Tang Clan fame and composed and produced by Howard Drossin. These dynamic battles ensure stylized encounters throughout the game that affect the overall tone of gameplay.  Slice and dismember opponents as Afro acrobatically leaps from one location to the next, interacting with anything and everything in the environment to help him on his journey. [Namco Bandai Games]",65,Mixed or average reviews,11,38,3,6.3,Mixed or average reviews,10,19,8
