title,platform,publisher,developer,genre,rating,release_date,multihoming,playersnum,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
Aliens Versus Predator: Extinction,Xbox,['EA Games'],Zono Inc.,"['Strategy', 'Real-Time', 'Sci-Fi']",T,30-Jul-03,['PlayStation 2'],1 Player,"On a cold distant planet, the war against extinction begins, and your command skills will determine its outcome. Lead an Alien hive, a Predator clan, or an elite squad of Colonial Marines to victory in 21 single-player missions. Each race has its own characteristics, abilities, weapons, and vehicles to suit your style of play. The survival of your species depends on your ability to use powerful resources and strategies, including pulse rifles, exosuits, and air strikes.",64,Mixed or average reviews,3,14,2,7,Mixed or average reviews,13,6,4
All-Star Baseball 2003,Xbox,['Acclaim'],Acclaim,"['Sports', 'Traditional', 'Baseball', 'Sim']",E,25-Feb-02,['PlayStation 2'],4-Jan,"The best of both worlds! All-Star Baseball 2003 offers the perfect blend of simulation-style hardball for the baseball fanatic, with the pick-up-and-play ease for the casual sports gamer. The game features all 30 Major League Baseball (MLB) teams and more than 900 professional players. Ten modes of play include Exhibition, Season, and Career, and the specialty modes include Batting Practice and Home Run Derby. The new Expansion mode allows gamers to create custom teams--with unique cities, stadiums, and logos--to add to the Major League schedule. The Cooperstown Hall of Fame team lets fans play with greats like Mike Schmidt, Reggie Jackson, and Yogi Berra. Games are called by Bob Brenly, Thom Brennaman, and Steve Lyons.",79,Generally favorable reviews,7,7,1,7.3,Mixed or average reviews,4,3,1
All-Star Baseball 2004,Xbox,['Acclaim'],Acclaim,"['Sports', 'Traditional', 'Baseball', 'Sim']",E,23-Feb-03,['PlayStation 2'],4-Jan,"Not only does All-Star Baseball 2004 simulate professional baseball, but it also gives you a look into baseball's history and homes. Now, in addition to today's baseball stars, you can play history's greatest players, from the MLB to the Negro Leagues. Take a panoramic tour of each stadium while learning about interesting facts and features. If you're new to the game, all-star Derek Jeter will guide and instruct you in the new Rookie mode tutorial.",74,Mixed or average reviews,12,7,1,7.4,Mixed or average reviews,6,0,2
All-Star Baseball 2005,Xbox,['Acclaim'],Acclaim,"['Sports', 'Traditional', 'Baseball', 'Sim']",E,23-Mar-04,['PlayStation 2'],4-Jan,"As the baseball season gets into full swing, immerse yourself in the game with All-Star Baseball 2005, which features online head-to-head play and a deeper Franchise mode. Realistic views from the new FielderCam and BroadcastCam bring you closer to plays. Find the perfect swing with analog-control batting, and then show your slugging skills either online or in the deep Franchise mode. All-Star Baseball 2005 also features extra challenges, create-a-player, and over 80 stadiums--including current MLB parks, legendary stadiums, spring training stadiums, and fantasy parks.",75,Generally favorable reviews,20,10,1,8.2,Generally favorable reviews,12,0,2
Alter Echo,Xbox,['THQ'],Outrage Games,"['Action', 'Shooter', 'Third-Person', 'Fantasy']",T,19-Aug-03,['PlayStation 2'],1 Player,"In Alter Echo, interstellar corporations mine a new organic skin called Plast and use it to make biomachines. Nevin, who can physically alter Plast and time itself, discovers that illegal experiments have infected Plast with human consciousness, and now he must fight for survival against a world gone mad. As you battle wave after wave of biomechanical enemies, you can morph between Melee, Gun, and Stealth modes. A Time Dilation system allows players to freeze the action and cue up an unstoppable flurry of moves and special attacks.",62,Mixed or average reviews,5,15,4,7.5,Generally favorable reviews,3,0,1
America's Army: Rise of a Soldier,Xbox,['Ubisoft'],Secret Level,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",T,17-Nov-05,,16  Online,"America's Army: Rise of a Soldier is the Xbox version of the tactical first-person shooter developed in conjunction with the US Army. You can create a soldier and advance him or her through an army career from recruit to leader of a Special Forces team. America's Army: Rise of a Soldier also includes online multiplayer, so you can battle up to 16 players over the Internet.",70,Mixed or average reviews,9,9,1,7.4,Mixed or average reviews,14,4,3
American Chopper,Xbox,['Activision Value'],Creat Studios,"['Driving', 'Racing', 'Motorcycle', 'Street']",T,3-Dec-04,['PlayStation 2'],1 Player,"Be hired into the shop of the hit TV series American Chopper™. Here's your chance to ride the bikes built by the Teutuls. Choose from the POW/MIA Bike, Jet Bike, Black Widow Bike, and others. You're also sent on missions to create your very own, original themed chopper that rivals those built by Paul Sr. and Paul Jr. Experience first-hand all of the hard work, drama, and thrill of creating one of the most beautiful bikes on the road today.",44,Generally unfavorable reviews,0,1,5,5.9,Mixed or average reviews,4,1,4
American Chopper 2: Full Throttle,Xbox,['Activision Value'],Creat Studios,"['Driving', 'Racing', 'Motorcycle', 'Street']",T,17-Nov-05,['PlayStation 2'],,,0,No score yet,0,2,1,tbd,No user score yet,0,2,1
AMF Bowling 2004,Xbox,['Mud Duck Productions'],,"['Sports', 'Alternative', 'Bowling']",E,1-Dec-03,,4-Jan,"Bowling fans can appreciate AMF Bowling 2004's realistic sound effects, array of gameplay options, and accurate ball, pin, and lane physics. This bowling simulation also lets you create your own bowler and customize your ball's weight, color, and texture. In multiple gameplay modes, such as practice and tournament play, you can find that perfect combination of position, speed, and ball velocity. Showcase your skills against professional bowlers or against a friend.",48,Generally unfavorable reviews,0,3,3,4.4,Generally unfavorable reviews,2,1,5
AMF Xtreme Bowling,Xbox,['Bethesda Softworks'],Mud Duck Productions,"['Sports', 'Alternative', 'Bowling']",E,28-Jun-06,['PlayStation 2'],8-Jan,,34,Generally unfavorable reviews,0,1,4,6.8,Mixed or average reviews,2,1,1
Amped 2,Xbox,['Microsoft Game Studios'],Indie Built,"['Sports', 'Alternative', 'Snowboarding']",E,28-Oct-03,,8-Jan,"Amped 2 offers a freestyle snowboarding experience with a large and varied trick library.  You'll explore vast areas of wide-open, real mountains packed with terrain parks.  Play head-to-head with friends in the various multiplayer modes.  When you're ready to take it to the next level, connect to Xbox Live to check rankings and challenge the world's best virtual riders.  Travel the globe, and pull sick tricks in front of sponsors, photographers, and fans.  The latest snowboarding magazines or videos feature your photos and demo reels as you become more famous.  Climb to the top ranks of the sport, and become a media superstar--all to the sounds of more than 300 killer indie tracks.",80,Generally favorable reviews,24,10,0,7.7,Generally favorable reviews,15,3,3
Amped: Freestyle Snowboarding,Xbox,['Microsoft Game Studios'],Indie Built,"['Sports', 'Alternative', 'Snowboarding']",E,19-Nov-01,,4-Jan,"Rip the ultimate line on wide-open, real mountains packed with challenges.  Whether you hit the cliffs, grind fallen trees, jib the rainbow tree rail, or take the hidden paths, you decide where and how you go down.  While you pull off insane tricks on rails, kickers, and half pipes, remember to pose for roaming photographers and camera crews.  With enough exposure, you'll find your face on magazine covers and videos and even become an international media superstar.",78,Generally favorable reviews,20,10,0,8.2,Generally favorable reviews,17,5,1
And 1 Streetball,Xbox,['Ubisoft'],Black Ops Entertainment,"['Sports', 'Traditional', 'Basketball', 'Arcade']",E10+,6-Jun-06,['PlayStation 2'],2  Online,"And 1 Streetball brings the flashy street-basketball style from the And 1 Mixtape tour to your home video game consoles. You can create a player from the ground up and take him through the trials of making the And 1 team. The game features a variety of moves inspired by real streetball players and includes venues from around the country--each with its own regional soundtrack. You can choose the size of your games, ranging from one-on-one showdowns to full five-on-five action.",46,Generally unfavorable reviews,1,8,13,7.5,Generally favorable reviews,11,0,3
Animaniacs: The Great Edgar Hunt,Xbox,['Ignition Entertainment'],Warthog,"['Action', 'Platformer', '3D']",E,29-Aug-05,,,Why do people hate this game i think its great it has the actors from the show and it has many funny moments the platforming is fun and the cutscenes were decent in the time,58,Mixed or average reviews,0,5,1,tbd,No user score yet,1,0,2
Antz Extreme Racing,Xbox,['Empire Interactive'],Supersonic Software,"['Driving', 'Racing', 'Kart']",E,5-Sep-02,"['PC', 'PlayStation 2']",,"Handling dirt is not a rewarding career, but you don't have to follow orders your whole life--think for yourself and Antz Extreme Racing can put you in the fast lane! Here's your chance to take on the role of one of six memorable characters from the groundbreaking motion picture Antz. With Z and Bala initially available, and other characters unlocked during the game, your goal is to climb the racing ladder and make something of yourself. You may be part of an endless extended family, but that doesn't stop you from wanting to be the best. Race to victory and help make your colony proud!",35,Generally unfavorable reviews,0,1,3,7.9,Generally favorable reviews,9,0,2
Apex,Xbox,['Atari'],Milestone S.r.l,"['Driving', 'Racing', 'GT / Street']",E,17-Feb-03,,2-Jan,"Now you can race against some of the world's best-known cars with your own brand of sports car. You'll start off with a small garage, where you can create your own driving machine, and then you can go into business as the up-and-coming sports car manufacturer. Your goal is to build a reputation for your brand by racing your cars against real sports cars. The more races you win the greater pedigree your brand receives. If you consistently win races, you can start a production line, sell your cars, design new vehicles, and continue the cycle.",74,Mixed or average reviews,18,6,2,7.3,Mixed or average reviews,6,2,2
Aquaman: Battle for Atlantis,Xbox,['TDK Mediactive'],Lucky Chicken,"['Action Adventure', 'Fantasy']",T,30-Jul-03,,1 Player,"Here's your chance to wield the power of Aquaman, the DC Comics superhero, as he defends the deep-sea city of Atlantis against such enemies as Ocean Master, Black Manta, and the Lava Lord of the Fire Trolls. You must fight to save the lost city by using Aquaman's super powers, telepathy, and hook-hand. While the game features plenty of intense underwater battles, you can also bombard your enemies from an attack sub in first-person mode.",26,Generally unfavorable reviews,0,0,13,2.6,Generally unfavorable reviews,3,1,13
Arctic Thunder,Xbox,['Midway'],Inland Productions,"['Driving', 'Racing', 'Futuristic']",T,15-Nov-01,['PlayStation 2'],4-Jan,"Are you ready for the ultimate battle on snow? You get proximity missiles, atomic snowballs, and snow bombs to use against your opponents as you battle your way to the finish line. If those don't do the trick, you've always got your fists for those up close and personal encounters. Choose one of 19 different characters and sleds, each one giving you different capabilities, and prepare to wage battle on one of 12 outlandish tracks, from the Swiss Alps to Atlantis. Master your snowmobile and perform any of 62 different tricks, or lure your friends into one of the special battle arenas for a duel.",57,Mixed or average reviews,2,11,4,6.7,Mixed or average reviews,4,1,1
Area 51,Xbox,['Midway'],Midway Studios - Austin,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",M,25-Apr-05,['PC'],16  Online,"A viral outbreak has shut down one of the US government's most secret and secure military facilities and all scientific and military personnel are locked inside. A small Special Forces unit, led by specialist Ethan Cole, is sent to investigate. As Cole, you'll delve into five expansive levels within the confines of Area 51, discovering a deadly mutagenic side effect of the virus as well as an ancient alien colony buried beneath the facility. With an array of human and alien weapons, you must explore conspiracies in order to solve the enigma of Area 51.",72,Mixed or average reviews,21,22,0,7.7,Generally favorable reviews,12,9,1
Arena Football,Xbox,['EA Sports'],EA Tiburon,"['Sports', 'Traditional', 'Football', 'Arcade']",E10+,7-Feb-06,['PlayStation 2'],4  Online,"Arena football charges onto consoles with EA Sports Arena Football. You can experience the action by controlling licensed players and teams in the only arena football game for current- or next-generation consoles. Smaller teams and a smaller field combine with confining walls to make Arena Football unlike any other football game you have played. The game includes an analog kicking system, detailed stat tracking, and the ability to customize your team and its players. Online play is also available.",65,Mixed or average reviews,5,11,1,7.7,Generally favorable reviews,9,0,2
Armed and Dangerous,Xbox,['LucasArts'],Planet Moon Studios,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi']",T,2-Dec-03,"['PC', 'Xbox 360']",1 Player,"What do you call a band of gun-toting rebels, including a robot, a madman, a mole, and a criminal mastermind? The answer is Armed & Dangerous, a game that gives you a ragtag crew with an impossible mission: Pull off the biggest heist of all time in the middle of a war. All you have to do is battle your way through dastardly enemies, giant war machines, and an army of psychopathic robots. But don't worry; your team has plenty of ammo and absolutely no common sense.",79,Generally favorable reviews,29,11,1,7,Mixed or average reviews,13,3,5
Army Men: Major Malfunction,Xbox,['Global Star Software'],Team17,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi']",T,14-Apr-06,['PlayStation 2'],1 Player,"Glitchy with a horrible camera and blocky graphics? Yes. But a surprisingly fun game under all the lack of production value. Army Men: Major Malfunction may be the last decent console game in the Army Men series, even though it's been panned by critics and fans alike. I personally enjoyed this game, though it's not for all. The Tan army is no longer the main enemy (or even mentioned in the game, like anywhere) that said, your enemies are all generic toys you'd see around any kid's room. Transformer-inspired robots, Duplo-inspired 'block-men', karate barbies..... Yeah, welcome to Major Malfunction. While obviously a huge departure for the series, it does make for enemy variety. There is also a much greater emphasis on platforming, forcing you to traverse all the many areas of the 'real world' including the bathroom, the kitchen, the backyard, the shed, and more. This added to enjoyment more than anything to me, as the environments are pretty creative and fun to explore. Don't get me wrong; Major Malfunction is a very, very problematic game. This is possibly the worst camera I have ever come upon in a video game. The thing will randomly change up angles right in the middle of platforming even. The graphics are also quite flat and blocky, and the story (if you can really call it that) consists of text boxes with muffled groans and growls as speech. Action can get a bit repetitive at times too. I kinda liked the music but it was a very limited soundtrack. In the end, I'd give this more of a 7 but it has a low enough rating as it is. Major Malfunction is by no means THAT good of a game, but it has redeeming value if you find it cheap. It's a fun little title when approached with the proper expectations. Hope I was helpful.",36,Generally unfavorable reviews,0,0,6,4,Generally unfavorable reviews,2,0,3
Army Men: Sarge's War,Xbox,['Global Star Software'],Tactical Development,"['Action', 'Shooter', 'Third-Person', 'Modern']",T,2-Aug-04,['PC'],4-Jan,"A new enemy, Colonel Malice, threatens the very existence of the Green nation. Now, with his squad destroyed, Sarge becomes a one-man army out to stop Colonel Malice and the Tan army at all costs. Guide Sarge through 12 dangerous levels, which span both the real world and the world of toys. Sarge can wield authentic weapons such as assault rifles, shotguns, bazookas, time bombs, and more. Be careful--enemies can now duck, cover, flank your positions, and generally try to kill you as intensely as you try to kill them.",44,Generally unfavorable reviews,1,10,15,tbd,No user score yet,0,0,1
Arx Fatalis,Xbox,['DreamCatcher Interactive'],Arkane Studios,"['Role-Playing', 'First-Person']",M,23-Dec-03,['PC'],1 Player,"Arx is the name of an underground urban environment where your special experience begins.  A threatening atmosphere has forced Arx inhabitants to take refuge in a dwarf mine, where goblins, trolls and ratmen dwell.  Arx Fatalis is an RPG that combines an intriguing story, a deep environment, and a high level of interactivity.  You can interact with objects and NPCs, cast spells, solve puzzles, and explore the underground fantasy world.",71,Mixed or average reviews,17,12,2,7.4,Mixed or average reviews,6,0,2
Atari Anthology,Xbox,['Atari'],Digital Eclipse,"['Miscellaneous', 'Compilation']",E,16-Nov-04,['PlayStation 2'],4-Jan,"Atari puts together its most popular arcade and console games in one massive collection. Now you can play classic arcade hits such as Asteroids, Centipede, Missile Command, Pong, Warlords, Crystal Castle, Gravitar, and much more. The collection also includes 62 Atari 2600 titles, including Adventure, Breakout, Casino, Pong, Star Raiders, and Yars' Revenge. Relive your favorite titles from the early days of video games, and take on new challenges and bonus games.",68,Mixed or average reviews,6,7,2,tbd,No user score yet,1,1,1
ATV Quad Power Racing 2,Xbox,['Acclaim'],Climax Group,"['Driving', 'Racing', 'Rally / Offroad']",E,27-Jan-03,['PlayStation 2'],4-Jan,"ATV: Quad Power Racing 2 is all about big tricks, big boots to the face, and big finishes.  As ten of the top pro riders in the world with real-life sponsors, you can race in 15 massive tracks and two freestyle arenas full of fast, edge-of-your-seat gameplay.  Fight your way to the finish with kick attacks, huge jumps, and power slides.  Get ready for this arcade-style ATV racer.",68,Mixed or average reviews,5,12,0,tbd,No user score yet,0,3,0
Auto Modellista,Xbox,['Capcom'],Capcom,"['Driving', 'Racing', 'Arcade']",E,20-Jan-04,['PlayStation 2'],8-Jan,"Handle the road like a pro with your own customizable racing machine or your choice of more than 60 top-of-the-line models. Race vehicles from manufacturers, including Toyota, Nissan, Honda, Subaru, and Mitsubishi, against up to eight drivers online or up to two drivers in split-screen mode. You'll tear past spectators, maneuver your way through tight mountain passes, and round each corner of the race track in your dream car at lightning speeds.",52,Mixed or average reviews,1,7,4,7.8,Generally favorable reviews,3,1,0
Avatar: The Last Airbender,Xbox,['THQ'],AWE Games,"['Action Adventure', 'Fantasy']",E10+,10-Oct-06,['PlayStation 2'],1 Player,"Play as Aang, Katara, Haru, and Sokka as you build your team into an unstoppable force in Avatar: The Last Airbender. Utilize your amazing bending powers and explore the mystic Avatar universe. Experience an adventure of intrigue, deception, and revelation that exposes an even greater threat than the Fire Nation as you battle against new enemies and master your bending skills.",63,Mixed or average reviews,3,10,0,tbd,No user score yet,1,0,1
Azurik: Rise of Perathia,Xbox,['Microsoft Game Studios'],Adrenium,"['Action Adventure', 'Fantasy']",T,25-Nov-01,,1 Player,"A fantastic adventure game for the original Xbox. If you're looking for a more difficult experience, massive beautiful landscapes, and are into games like The Legend of Zelda, I highly recommend getting this game.",52,Mixed or average reviews,3,13,10,7.9,Generally favorable reviews,13,2,2
Backyard Wrestling 2: There Goes the Neighborhood,Xbox,['Eidos Interactive'],Paradox Development,"['Action', 'Fighting', 'Wrestling']",M,16-Nov-04,['PlayStation 2'],2-Jan,"Delve deep into the heart of Small Town America, USA, with Backyard Wrestling 2. Backyard Wrestling Inc. has put a million-dollar cash prize on the line for the wrestler who can win the unified BYW championship. Defeating the most hardcore backyard wrestlers is not enough, however, as the lure of ""easy money"" has attracted the attention of professional wrestlers as well. With new submission holds, body damage, and defensive moves, you must prove you have what it takes to destroy every obstacle in your path.",43,Generally unfavorable reviews,1,6,10,tbd,No user score yet,1,0,1
Backyard Wrestling: Don't Try This at Home,Xbox,['Eidos Interactive'],Paradox Development,"['Action', 'Fighting', 'Wrestling']",M,9-Oct-03,['PlayStation 2'],2-Jan,"Get ready for the most hardcore fighting experience on your console. Insane stunts, brutal weapons and a whole world of pain, Backyand Wrestling allows you to step into a groundbreaking new world of open-ended gameplay.Punish your opponent using instruments of pain like bricks, light bulbs, tables as well as the environment itself.",50,Mixed or average reviews,1,8,6,4.4,Generally unfavorable reviews,3,0,5
Bad Boys: Miami Takedown,Xbox,['Crave'],Blitz Games,"['Action', 'Shooter', 'Third-Person', 'Modern']",M,14-Sep-04,['PlayStation 2'],1 Player,"Mike Lowrey and Marcus Burnett of the Tactical Narcotics Team are back to fight crime in Bad Boys II. Based on the movie, Bad Boys II follows this unlikely duo as they try to stop illegal drug trade in Miami. Through 15 action-packed stages, you'll play as either Mike or Marcus in first- or third-person viewpoints. Search for clues, wield a variety of weapons, and tear through fully destructible environments to complete a variety of mission objectives.",35,Generally unfavorable reviews,1,4,15,5.9,Mixed or average reviews,4,1,4
Baldur's Gate: Dark Alliance,Xbox,['Interplay'],Snowblind Studios,"['Role-Playing', 'Action RPG']",T,22-Oct-02,"['PC', 'PlayStation 2', 'PlayStation 4', 'Switch', 'Xbox One']",2-Jan,"Baldur's Gate: Dark Alliance is an action RPG with an epic tale of intrigue, explosive spell effects, and highly detailed creatures and environments.  You play a one of three customizable characters, who returns to Baldur's Gate and joins the fight against the darkness that threatens its peace.  Take on the monsters solo or with a friend in co-op mode.  Baldur's Gate: Dark Alliance is the first game to feature the real time application of the Dungeons & Dragons 3rd Edition rules.",83,Generally favorable reviews,22,3,0,8.5,Generally favorable reviews,26,3,2
Baldur's Gate: Dark Alliance II,Xbox,['Interplay'],Black Isle Studios,"['Role-Playing', 'Action RPG']",T,20-Jan-04,['PlayStation 2'],2-Jan,"Embark on a new adventure for fortune, glory and power.  Baldur's Gate: Dark Alliance II, the sequel to Baldur's Gate: Dark Alliance starts you off on a road full of danger and magic.  Face a seemingly endless army of sinister enemies in over 80 levels of finger-numbing action.  Master skills, spells and deadly weapons while traveling through spectacular environments.  Customize your character and forge your own weapons.  It's up to you to rid the lands of evil by yourself or with a friend.",77,Generally favorable reviews,33,10,1,8,Generally favorable reviews,17,1,3
Barbie Horse Adventure: Wild Horse Rescue,Xbox,['Universal Interactive'],Blitz Games,"['Sports', 'General']",E,4-Nov-03,,1 Player,"Some of Barbie's wild horses are missing from her stable, and you must help her find them. Choose your horse, riding tack, and Barbie's outfit, and then ride through the beautiful countryside. You can even help Barbie dismount her horse and explore trails on foot. Your adventure, however, is not without dangers, as you must jump over fallen trees, cross rickety bridges, and avoid other obstacles. After you chase the horses, lasso them, and return them to safety, you can challenge your friend to race.",52,Mixed or average reviews,1,3,2,6.9,Mixed or average reviews,9,0,4
Bass Pro Shops: Trophy Bass 2007,Xbox,['Vivendi Games'],Big John Games,"['Sports', 'Nature', 'Fishing']",E,21-Nov-06,['PlayStation 2'],2-Jan,,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
